id,Label
0,8.118448632763432
1,16.562631579093818
2,567.0290308138075
3,150.81500023756308
4,1220.0415609587837
5,188.35161054719646
6,29.203177726457568
7,130.67779620869675
8,158.5398579567113
9,1193.0650766491747
10,1080.7281679334076
11,286.64992136363315
12,48.581894041747944
13,23.47804384856684
14,17.393438949031577
15,2627.8188215934338
16,553.6851390946899
17,280.83477469297
18,297.959597825133
19,114.77477653692648
20,100.13123685872607
21,40.9061247689215
22,545.4893447563782
23,53.20136318646638
24,15.767958337999914
25,623.2061258308051
26,431.02848312693345
27,54.95836272765041
28,102.33227365167005
29,896.2343588686911
30,10.679097236700045
31,33.343748933182525
32,305.9163572804062
33,3.10918471404716
34,1678.3240890886862
35,336.45255018898104
36,426.65503604350783
37,119.18886265897544
38,643.4649310456782
39,9.361922327630396
40,1182.2354266302652
41,1417.7440619203112
42,2239.482919827628
43,363.25230172096974
44,5.952776509024375
45,724.6037794613526
46,114.39957715955225
47,180.99346889086254
48,361.46517627603464
49,10.749825992086329
50,60.02747425558789
51,66.92260484818902
52,585.6202101324614
53,1002.3030190198986
54,128.5878241844053
55,38.15505777660684
56,789.4191173823867
57,292.72171410823245
58,640.4244675436903
59,160.78356478851467
